material_score,correct
0,0.805617698235148
1,0.8384567773880751
2,0.7367631214406649
3,0.7720380952380952
4,0.7388097845929171
5,0.7630045883384029
6,0.7036891850690361
7,0.7048534916741964
8,0.6905993141364106
9,0.7090284984433624
10,0.6829576884599541
11,0.699058959093528
12,0.707223539255334
13,0.6992366412213741
14,0.7040028791938258
15,0.6782924107142857
16,0.7041876502880995
17,0.6786783575705732
18,0.6983695652173914
19,0.6617322138753866
20,0.7149150409062304
21,0.6888970768852861
22,0.7474268266657912
23,0.7290139906728847
24,0.7969778254649499
